# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
       57         12    0.76302938694034E-01    0.14575467730863E+02
       58         11   -0.15820452177473E+01    0.11712139197410E+01
       58         12    0.76232280548802E-01    0.14627908074995E+02
       59         11   -0.17199719508268E+01    0.49564553411947E+00
       59         12    0.95456944206022E-01    0.11801994665213E+02
       60         11   -0.17200645386987E+01    0.49212315121565E+00
       60         12    0.94791095411944E-01    0.11851574414115E+02
       61         11   -0.17216364748131E+01    0.42742569566644E+00
       61         12    0.88926565035314E-01    0.10346975461252E+02
       62         11   -0.17215517755316E+01    0.42726811407663E+00
       62         12    0.87987265380636E-01    0.10369293736681E+02
       63         11   -0.16516214478826E+01    0.90339269970725E+00
       63         12    0.85515063735535E-01    0.98758383073060E+01
       64         11   -0.16512002516437E+01    0.91229181258856E+00
       64         12    0.86803728062076E-01    0.98898992509946E+01
       65         11   -0.13496668838699E+01    0.34145061464229E+00
       65         12    0.74815815540869E-02    0.88927982042375E+01
       66         11   -0.14384183914348E+00    0.14644807423880E+02
       66         12   -0.12705281327235E+00    0.15040558947109E+02
       67         11   -0.13496668839315E+01    0.34173885586692E+00
       67         12    0.74815817104379E-02    0.88653987952885E+01
       68         11   -0.82639035618074E+00    0.21999791139900E+01
       68         12   -0.11128180558210E+00    0.12261288237095E+02
       69         11   -0.60787642632218E+00    0.14151286853225E+01
       69         12    0.89611544436686E-02    0.12692144496725E+02
       70         11   -0.35788400936700E+00    0.13612730383439E+02
       70         12    0.12094314447958E-01    0.13650454214506E+02
       71         11   -0.13053743334010E+00    0.15944344115016E+02
       71         12   -0.12238757732916E+00    0.15231519769814E+02
       72         11   -0.35775941235392E+00    0.13645328610470E+02
       72         12    0.12146702601346E-01    0.13608793517010E+02
       73         11   -0.60796413326319E+00    0.14224977627506E+01
       73         12    0.88939011908569E-02    0.12641568024927E+02
       74         11   -0.82668080570070E+00    0.22124925222787E+01
       74         12   -0.11152733647831E+00    0.12192513432538E+02
       75         11   -0.12504127096378E+00    0.15889794031009E+02
       75         12   -0.12503860743122E+00    0.15889794031009E+02
       76         11   -0.15397423719601E+00    0.89242976128119E+01
       76         12   -0.11875541428463E+00    0.84991430532880E+01
       77         11   -0.14745929383319E+00    0.91913874348111E+01
       77         12   -0.11298487279021E+00    0.82301251478573E+01
