# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
      247         12   -0.14363462006379E-01    0.94247684504156E+01
      248         11   -0.16107482061104E+01    0.11963387664587E+01
      248         12   -0.16157874685369E+00    0.13366116797944E+02
      249         11   -0.73737146245542E+00    0.20657947936721E+01
      249         12   -0.97612173029013E-02    0.87639209535719E+01
      250         11    0.16473658503802E+00    0.93533420294606E+01
      250         12    0.95640064415296E+00    0.34646914204433E+01
      251         11    0.16455379083971E+00    0.93253241966338E+01
      251         12    0.95627533149601E+00    0.34514764003678E+01
      252         11   -0.73727727067819E+00    0.20697141547096E+01
      252         12   -0.98346922567127E-02    0.87968001445896E+01
      253         11   -0.11684612421163E+00    0.10456579918081E+02
      253         12   -0.11684478605854E+00    0.10456579918081E+02
      254         11   -0.11666596711076E+00    0.10369794803624E+02
      254         12   -0.11666462631758E+00    0.10369794803624E+02
      255         11   -0.97215474806563E-01    0.17013808840087E+02
      255         12    0.21604515135260E+01    0.32425991449201E+01
      256         11   -0.91993812631676E-01    0.16928962259628E+02
      256         12    0.21552499543120E+01    0.38001027890075E+01
      257         11   -0.50969025110488E-02    0.14419501344589E+02
      257         12    0.22247402411628E+01    0.93157424899841E+01
      258         11   -0.27486472003758E-03    0.14647018015922E+02
      258         12    0.22197703281730E+01    0.81057236958584E+01
      259         11    0.83432127859256E-01    0.12486581626051E+02
      259         12    0.30603244296918E+01    0.36306386874649E+00
      260         11    0.93489994061044E-01    0.12181426626327E+02
      260         12    0.30478249472711E+01    0.31286808552832E+00
      261         11    0.51038924151953E-01    0.10520509725401E+02
      261         12    0.35772633107423E+01    0.33259529416247E+01
      262         11    0.58511974383550E-01    0.10420550580360E+02
      262         12    0.35666231262073E+01    0.37360932342225E+01
      263         11    0.75083768982768E-01    0.96729831151843E+01
      263         12    0.38797088514083E+01    0.13227768713043E+01
      264         11    0.75083768755680E-01    0.97088722411341E+01
      264         12    0.38797088518079E+01    0.13165189693247E+01
      265         11    0.11613190143368E+00    0.77673677965335E+01
      265         12    0.37215719185099E+01    0.16763999770078E+01
      266         11    0.10966453924674E+00    0.81892863348788E+01
      266         12    0.37254929159170E+01    0.15596579136155E+01
      267         11    0.15278561181081E+00    0.80372713796469E+01
      267         12    0.27642913222549E+01    0.30069624126831E+01
      268         11    0.14676110636484E+00    0.73054860814254E+01
      268         12    0.27601910944473E+01    0.26618266852629E+01
      269         11   -0.16003955660434E+01    0.13792924700343E+01
      269         12   -0.13277402521939E+00    0.14400840131738E+02
      270         11   -0.15893690658161E+01    0.30737847568118E+01
      270         12   -0.72896184932129E-01    0.94264606871538E+01
      271         11   -0.13532780746877E+01    0.56733175239562E+00
      271         12    0.96760426349554E-01    0.13516834370016E+02
      272         11   -0.13547036413646E+01    0.57203248164869E+00
      272         12    0.95711557892460E-01    0.13537877198212E+02
      273         11   -0.15900087055510E+01    0.30661333465148E+01
      273         12   -0.73632478269765E-01    0.94729559525850E+01
      274         11   -0.82639162395475E+00    0.22000500602950E+01
      274         12   -0.11127887031015E+00    0.12261211443430E+02
      275         11   -0.82658186956093E+00    0.22117768464954E+01
      275         12   -0.11136759136902E+00    0.12194542974727E+02
      276         11   -0.97217776349321E-01    0.17013895602466E+02
      276         12    0.21604523207752E+01    0.32425862060279E+01
      277         11   -0.91995931002440E-01    0.16929144210888E+02
      277         12    0.21552506627273E+01    0.38000893729106E+01
      278         11   -0.50988411871700E-02    0.14419514086717E+02
      278         12    0.22247411323003E+01    0.93160372897013E+01
      279         11   -0.27368357683096E-03    0.14649191814363E+02
      279         12    0.22197810236658E+01    0.81005077395805E+01
      280         11   -0.10749412708407E+00    0.13570913320975E+02
      280         12    0.24106597357586E+01    0.80111113904589E+01
      281         11   -0.10430208903603E+00    0.13534841939553E+02
      281         12    0.24069937032517E+01    0.77713387248708E+01
      282         11   -0.10471890865082E+00    0.11618060201373E+02
      282         12    0.25203903260527E+01    0.45295569992416E+01
      283         11   -0.10471890872062E+00    0.11587058569283E+02
      283         12    0.25203903260421E+01    0.43558280159260E+01
      284         11   -0.78495587443656E-01    0.75447097692366E+01
      284         12    0.25302683160625E+01    0.41655061596258E+01
      285         11   -0.80570350316587E-01    0.80967759942122E+01
      285         12    0.25335818500541E+01    0.40989982773442E+01
      286         11   -0.68884495226763E-01    0.57595967588429E+01
      286         12    0.24548154938241E+01    0.28030644000856E+01
      287         11   -0.70957867055444E-01    0.60402903923366E+01
      287         12    0.24585274073549E+01    0.27067558300271E+01
      288         11   -0.81264437801331E-01    0.73925022561315E+01
      288         12    0.22820579527349E+01    0.64489939326422E+01
      289         11   -0.81897079528947E-01    0.76142115831084E+01
      289         12    0.22828546573262E+01    0.62939194649088E+01
      290         11   -0.10683140440877E+00    0.10148749167957E+02
      290         12    0.18426077787510E+01    0.21371497507120E+01
      291         11   -0.10565460712268E+00    0.10055114038128E+02
      291         12    0.18422510046398E+01    0.21365625887531E+01
      292         11   -0.14325192239010E+01    0.92768375508587E+00
      292         12   -0.11274646029801E+00    0.13909780158903E+02
      293         11   -0.11508391292672E+01    0.10797124557951E+01
      293         12    0.77678135690389E-01    0.14807019738461E+02
      294         11   -0.11518027026564E+01    0.10789322038433E+01
      294         12    0.77879596198070E-01    0.14829329609157E+02
      295         11   -0.14331432700533E+01    0.93355278555390E+00
      295         12   -0.11251086682309E+00    0.13865267279052E+02
      296         11   -0.60787768787923E+00    0.14151487630095E+01
      296         12    0.89633386548955E-02    0.12692198356688E+02
      297         11    0.14402232396279E+00    0.86223157863177E+01
      297         12    0.79419010919692E+00    0.13608074997092E+01
      298         11    0.14464465519843E+00    0.86346726442652E+01
      298         12    0.79433354158275E+00    0.13774700313357E+01
      299         11   -0.60801805741837E+00    0.14228802925177E+01
      299         12    0.89621729016728E-02    0.12660173182962E+02
      300         11    0.57403015122177E-01    0.11497187298527E+02
      300         12    0.57404056730565E-01    0.11497187298527E+02
      301         11    0.57439238224763E-01    0.11519823296474E+02
      301         12    0.57440279409565E-01    0.11519823296474E+02
      302         11   -0.39311568284596E-01    0.89758689569237E+01
      302         12    0.13278583384665E+01    0.38835984816599E+01
      303         11   -0.39311568204370E-01    0.86629421711252E+01
      303         12    0.13278583383768E+01    0.37674270199680E+01
      304         11    0.22578050094974E-01    0.12301461965277E+02
      304         12    0.13830848759635E+01    0.51462100201368E+01
      305         11    0.22578050154635E-01    0.12507935291118E+02
      305         12    0.13830848757982E+01    0.51248059981425E+01
      306         11   -0.24108767747975E-01    0.85734662634240E+01
      306         12    0.13238994530659E+01    0.30217496954329E+01
      307         11   -0.19066279750100E-01    0.89224755769011E+01
      307         12    0.13175864709113E+01    0.29006143415243E+01
      308         11   -0.35018192676669E-01    0.68445649411935E+01
      308         12    0.12721859446078E+01    0.20130513416663E+01
      309         11   -0.30163521479434E-01    0.70435412894747E+01
      309         12    0.12658282971983E+01    0.17500876913173E+01
      310         11   -0.59759035884940E-01    0.55136997605028E+01
      310         12    0.11987089404771E+01    0.24524849060742E+01
      311         11   -0.58235565670645E-01    0.54908679292737E+01
      311         12    0.11968469035490E+01    0.24821401853577E+01
      312         11   -0.89177398370696E+00    0.81139739052063E+00
      312         12    0.10357097854104E+00    0.10760500007527E+02
      313         11   -0.87179903268263E+00    0.13397477610859E+01
      313         12    0.13668691795909E+00    0.82177422252545E+01
      314         11   -0.11236667039942E+00    0.10435283802902E+02
      314         12    0.11014060232766E+01    0.19946608497553E+01
      315         11    0.14042918966645E+00    0.75007727349544E+01
      315         12    0.13803451527402E+01    0.34079806201130E+01
      316         11    0.14218898921144E+00    0.74768543184962E+01
      316         12    0.13784357721420E+01    0.32862274026833E+01
      317         11   -0.11532077914913E+00    0.10558175358422E+02
      317         12    0.11047146339036E+01    0.22796855094452E+01
      318         11   -0.86978328398913E+00    0.14087375208094E+01
      318         12    0.13317985211161E+00    0.82769365770980E+01
      319         11   -0.97745398136992E+00    0.10973502695939E+01
      319         12    0.30792261749677E-02    0.10321051191209E+02
      320         11   -0.94497209729776E+00    0.77888509706687E+00
      320         12    0.45930142479394E-01    0.11445467721214E+02
      321         11    0.88588981790828E-01    0.96592085952998E+01
      321         12    0.12648714385814E+01    0.15185074784013E+01
      322         11    0.85668344515892E-01    0.97882469456497E+01
      322         12    0.12679318995847E+01    0.17002308536312E+01
      323         11   -0.94293971205091E+00    0.76519618316731E+00
      323         12    0.42973895512931E-01    0.11440363798691E+02
      324         11   -0.10209861082489E+01    0.13957296236651E+01
      324         12   -0.10077613541240E+00    0.12759597944750E+02
      325         11   -0.85687992364123E+00    0.25400648820542E+01
      325         12    0.59917343111619E-01    0.12924384144318E+02
      326         11    0.28190414375238E-02    0.94763715352256E+01
      326         12    0.10161537488538E+01    0.40486318898002E+01
      327         11   -0.38955329692865E-03    0.94278067013622E+01
      327         12    0.10189971517589E+01    0.40784959004458E+01
      328         11   -0.85472137709646E+00    0.26404505710026E+01
      328         12    0.58016441407478E-01    0.12901923634130E+02
      329         11   -0.10193354804292E+01    0.13780556872313E+01
      329         12   -0.10226484171162E+00    0.12769831057155E+02
      330         11   -0.82765434861525E+00    0.32056832912967E+01
      330         12   -0.11776211474283E+00    0.14620391453068E+02
      331         11   -0.82672558150355E+00    0.31759303990922E+01
      331         12   -0.11791283376966E+00    0.14678599135692E+02
      332         11   -0.35788507847489E+00    0.13612532742567E+02
      332         12    0.12095109191807E-01    0.13650398005142E+02
      333         11    0.46999392987910E-01    0.11973160946099E+02
      333         12    0.42739606209141E+00    0.16968598185692E+02
      334         11    0.46854132954088E-01    0.11965141471300E+02
      334         12    0.42727958555021E+00    0.16919345914921E+02
      335         11   -0.35783225977391E+00    0.13637129731362E+02
      335         12    0.12166515020050E-01    0.13620451165911E+02
      336         11   -0.15397243651397E+00    0.89243106015522E+01
      336         12   -0.11876534850356E+00    0.84999271473330E+01
      337         11   -0.76373589653547E-01    0.59750907356137E+01
      337         12   -0.33692372085558E-01    0.60487677669599E+01
      338         11    0.20097317791270E-01    0.82676555406945E+01
      338         12    0.60586242640951E-01    0.84572027111679E+01
      339         11    0.13688128603418E+00    0.71592806721596E+01
      339         12    0.16086097309358E+00    0.91291254144538E+01
      340         11    0.13688128603278E+00    0.71592805508276E+01
      340         12    0.16086097309629E+00    0.91291251212644E+01
      341         11    0.20097317807064E-01    0.82676552874602E+01
      341         12    0.60586242638246E-01    0.84572023250600E+01
      342         11   -0.76373589625252E-01    0.59750905872254E+01
      342         12   -0.33692372100824E-01    0.60487675614712E+01
      343         11   -0.15397243648993E+00    0.89243105124668E+01
      343         12   -0.11876534852684E+00    0.84999269735379E+01
      344         11   -0.14745770629428E+00    0.91914752745723E+01
      344         12   -0.11299413754463E+00    0.82305385511275E+01
      345         11   -0.63836931207210E-01    0.50330967163234E+01
      345         12   -0.22733354886093E-01    0.67932877877115E+01
      346         11    0.40160528304820E-01    0.89595143181610E+01
      346         12    0.78575052640297E-01    0.90209808826226E+01
      347         11    0.40172561281762E-01    0.89633018926183E+01
      347         12    0.78581889855647E-01    0.90209012365689E+01
      348         11   -0.63848852475951E-01    0.50359173133119E+01
      348         12   -0.22697100635765E-01    0.67953639129404E+01
      349         11   -0.14749614650709E+00    0.91947566661033E+01
      349         12   -0.11294616335749E+00    0.82277412684087E+01
      350         11   -0.12984739599642E+00    0.94925390095207E+01
      350         12   -0.97119819634816E-01    0.80361712416707E+01
      351         11   -0.28661689149927E-01    0.60932592028855E+01
      351         12    0.88870519941418E-02    0.72371390450674E+01
      352         11    0.96493725779103E-01    0.87747117810472E+01
      352         12    0.13051190923359E+00    0.70029032220718E+01
      353         11    0.96549824515087E-01    0.87829870713095E+01
      353         12    0.13055932416899E+00    0.69945696521927E+01
      354         11   -0.28615911616924E-01    0.60984100332737E+01
      354         12    0.89817571115652E-02    0.72366862816779E+01
      355         11   -0.12986263344337E+00    0.94971971929607E+01
      355         12   -0.97044723487499E-01    0.80315130147318E+01
      356         11   -0.10279719489823E+00    0.85420113659574E+01
      356         12   -0.75009767832562E-01    0.57387113099669E+01
      357         11    0.26806916950801E-01    0.87687208543614E+01
      357         12    0.57214989883897E-01    0.84575625682706E+01
      358         11    0.26847329744688E-01    0.87755209873561E+01
      358         12    0.57273274973006E-01    0.84593929461956E+01
      359         11   -0.10279015781146E+00    0.85444602469589E+01
      359         12   -0.74973772617457E-01    0.57332990814010E+01
      360         11   -0.67627262980370E-01    0.55791671508027E+01
      360         12   -0.43327584087784E-01    0.59134005985540E+01
      361         11    0.99823193006311E-01    0.89944905742133E+01
      361         12    0.12652113723670E+00    0.73369703539453E+01
      362         11    0.99721124290774E-01    0.89959593931296E+01
      362         12    0.12632470090839E+00    0.73507084812616E+01
      363         11   -0.67655292116219E-01    0.55806277441771E+01
      363         12   -0.43432390918452E-01    0.59141320385959E+01
      364         11   -0.19507457873655E-01    0.76321541707460E+01
      364         12    0.63773315348673E-02    0.85343345853203E+01
      365         11   -0.19580051960230E-01    0.76265018065485E+01
      365         12    0.61494926557950E-02    0.85382514373839E+01
      366         11    0.56080942196707E-01    0.10594178935620E+02
      366         12    0.72699380129960E-01    0.10723252941459E+02
      367         11    0.56032098529077E-01    0.10601594251150E+02
      367         12    0.72552951327004E-01    0.10741855989083E+02
      368         11   -0.14383996033455E+00    0.14644892593635E+02
      368         12   -0.12705551532408E+00    0.15040946637463E+02
      369         11   -0.14388645643448E+00    0.14664354615470E+02
      369         12   -0.12707785586141E+00    0.15049793627863E+02
      370         11   -0.13053674083858E+00    0.15944601089121E+02
      370         12   -0.12238910540007E+00    0.15231959660664E+02
      371         11   -0.13055655415156E+00    0.15965731445552E+02
      371         12   -0.12240190031255E+00    0.15241253916626E+02
      372         11   -0.12504161299385E+00    0.15890125446680E+02
      372         12   -0.12503894938343E+00    0.15890125446680E+02
      373         11   -0.12504161288627E+00    0.15890124949940E+02
      373         12   -0.12503894938401E+00    0.15890124949940E+02
